Nombre,Direccion,Ciudad,Pais,Precio,Tipos_Cocina,Ideales,Valoracion
Zum Kreuz,Hohlengraben 1; Sankt Märgen; 79274; Alemania,Sankt Märgen,Alemania,1,Regional; Cocina de temporada,,0
La Marelle Café,Rue des Trieux 36; Blaregnies; 7040; Bélgica,Blaregnies,Bélgica,1,Tradicional; Cocina de mercado,Grupos,0
Sel et Poivre,rue de la Fontaine 3; Hollain; 7620; Bélgica,Hollain,Bélgica,1,Cocina de mercado,,0
Au Cœur de Lacuisine,rue du Fond des Naux 7; Lacuisine; 6821; Bélgica,Lacuisine,Bélgica,1,Regional; Clásica,,0
Rēpu,944 avenue de la République; Marcq-en-Barœul; 59700; Francia,Marcq-en-Barœul,Francia,1,Moderna; Tradicional,Familiar,0
Balsamique,13 place du Général-de-Gaulle; Wambrechies; 59118; Francia,Wambrechies,Francia,1,Moderna,,0
Cadet,57 Newington Green; Islington; Londres; N16 9PX; Reino Unido,Londres,Reino Unido,1,Inglesa moderna; Cocina mediterránea,,0
Mambow,78 Lower Clapton Road; Clapton; Londres; E5 0RN; Reino Unido,Londres,Reino Unido,1,Malaya,,0
Farang,72 Highbury Park; Highbury; Londres; N5 2XE; Reino Unido,Londres,Reino Unido,1,Thai,Grupos,0
Primeur,116 Petherton Road; Canonbury; Londres; N5 2RT; Reino Unido,Londres,Reino Unido,1,Inglesa moderna,Comer solo,0
Les 2 Garçons,14 Middle Lane; Crouch End; Londres; N8 8PL; Reino Unido,Londres,Reino Unido,1,Francesa,,0
Zur Krone,Mussbach 6; Freiamt; 79348; Alemania,Freiamt,Alemania,1,Regional; Clásica,,0
Gasthaus Schwanen,Talstraße 9; Stühlingen; 79780; Alemania,Stühlingen,Alemania,1,Regional; Cocina de temporada,,0
Da Sapì,via Giuseppe Mazzini 36; Esine; 25040; Italia,Esine,Italia,1,Cocina de Lombardía; Actual,Cocina local,0
Jai Ho,Unit 1 The Clevelands Centre; Sapphire Road; Bishop's Cleeve; GL52 7AH; Reino Unido,Bishop's Cleeve,Reino Unido,1,Hindú,,0
Provender,17 High Street; Redbridge; Londres; E11 2AA; Reino Unido,Londres,Reino Unido,1,Francesa,,0
Osteria Numero 2,Via Ghisiolo 2/a; Stradella; 46051; Italia,Stradella,Italia,0,Italiana; Clásica,Familiar;Cocina local,0
Farmgate Lismore,Main Street; Lismore; P51 NH95; Irlanda,Lismore,Irlanda,1,Tradicional,,0
Altavilla,Via Monti 46; Bianzone; 23030; Italia,Bianzone,Italia,1,Cocina de Valtellina; Regional,Cocina local,0
Da Gregorio,strada provinciale 101 136; Morrano Nuovo; 05018; Italia,Morrano Nuovo,Italia,1,Cocina de Umbría; Tradicional,Familiar;Cocina local,0
Romanè,Via Cipro 106; Roma; 00136; Italia,Roma,Italia,0,Romana; Cocina del Lazio,Familiar,0
La Scarpetta,Via Veglia 11; Sankt Moritz; 7500; Suiza,Sankt Moritz,Suiza,1,Italiana contemporánea,,0
Trattoria di Via Serra,Via Luigi Serra 9/b; Bolonia; 40129; Italia,Bolonia,Italia,0,Cocina de Emilia; Tradicional,Familiar;Cocina local,0
Aldridge Lodge,Aldridge Lodge; Duncannon; Y34 W650; Irlanda,Duncannon,Irlanda,1,Regional,,0
Osteria Bartolini,Piazza Malpighi 16; Bolonia; 40123; Italia,Bolonia,Italia,0,Pescados y mariscos; Cocina mediterránea,Cocina local,0
Ahimè,Via San Gervasio 6/e; Bolonia; 40121; Italia,Bolonia,Italia,1,Regional,Productos locales,0
L'Acquario,Via Vittorio Emanuele 69; Castiglione del Lago; 06061; Italia,Castiglione del Lago,Italia,1,Cocina de Umbría; Tradicional,Familiar;Cocina local,0
La Trattoria,Via Maistra 215; Pontresina; 7504; Suiza,Pontresina,Suiza,1,Italiana,Romántico,0
La Table du Boucher,rue d'Havré 49; Mons; 7000; Bélgica,Mons,Bélgica,1,Carnes a la parrilla; Francesa clásica,Un clásico;Familiar,0
La Petite Gayole,Place de Thuillies 12; Thuillies; 6536; Bélgica,Thuillies,Bélgica,1,Tradicional; Francesa,,0
Le Faitout,place de la Résistance 1; Baudour; 7331; Bélgica,Baudour,Bélgica,1,Tradicional; Francesa,Familiar,0
Gina,92 Station Road; Chingford; E4 7BA; Reino Unido,Chingford,Reino Unido,1,Inglesa tradicional,Terraza agradable,0
La Bucaccia,Via Ghibellina 17; Cortona; 52044; Italia,Cortona,Italia,0,Toscana,Cocina local,0
Trattoria Pennestri,Via Giovanni Da Empoli 5; Roma; 00154; Italia,Roma,Italia,1,Cocina del Lazio; Cocina de temporada,Cocina local,0
Hosteria Grappolo d'Oro,Piazza della Cancelleria 80; Roma; 00186; Italia,Roma,Italia,0,Romana; Tradicional,Familiar;Grupos,0
53 Untitled,Via del Monte della Farina 53; Roma; 00186; Italia,Roma,Italia,1,Italiana contemporánea; Italiana,Merece la espera,0
D'Chuchi,Brunnengasse 3; Schaffhausen; 8200; Suiza,Schaffhausen,Suiza,1,Moderna; Cocina de mercado,Comer solo;Favorito del inspector,0
L'Osteria della Trippa,Via Goffredo Mameli 15; Roma; 00153; Italia,Roma,Italia,1,Cocina del Lazio; Tradicional,Cocina local,0
Rössle,Hauptstraße 19; Elzach; 79215; Alemania,Elzach,Alemania,1,Regional; Internacional,Cocina local,0
Bagù,Avenue de Ragnies 14; Thuin; 6530; Bélgica,Thuin,Bélgica,1,Cocina de temporada; Francesa,,0
Al Cambio,Via Stalingrado 150; Bolonia; 40128; Italia,Bolonia,Italia,1,Cocina de Emilia; Tradicional,Familiar;Cocina local,0
Green T.,Via del Piè di Marmo 28; Roma; 00186; Italia,Roma,Italia,1,China; Asiática contemporánea,Comer solo,0
Gaston Vouzote,boulevard des Canadiens 27; Dottignies; 7711; Bélgica,Dottignies,Bélgica,1,Clásica,Familiar,0
La Fermette des Pins,rue du Lustre 39; Buvrinnes; 7133; Bélgica,Buvrinnes,Bélgica,1,Clásica; Cocina de temporada,Familiar;Grupos,0
Parc Le'h,1 rue de la Forêt; Dudelange; 3471; Luxemburgo,Dudelange,Luxemburgo,1,Moderna,Familiar,0
Renée,12 place Paul-Asseman; Dunkerque; 59140; Francia,Dunkerque,Francia,1,Tradicional,Productos locales,0
The Inn at Welland,Hook Bank; Drake Street; Welland; WR13 6LN; Reino Unido,Welland,Reino Unido,1,Inglesa moderna,,0
Everett's,22 High Street; Waterford; X91 Y983; Irlanda,Waterford,Irlanda,1,Moderna,,0
Il Cedro,Via di Camaldoli 20; Moggiona; 52014; Italia,Moggiona,Italia,0,Toscana,Familiar;Cocina local,0
Domenico dal 1968,via Satrico 21; Roma; 00183; Italia,Roma,Italia,1,Romana; Cocina del Lazio,Cocina local,0
Restaurant Schlüssel - Schlüsselstube,Oberdorfstrasse 5; Mels; 8887; Suiza,Mels,Suiza,1,Regional; Suiza,,0
Gasthof zur Sonne,Hauptstraße 57; Tengen; 78250; Alemania,Tengen,Alemania,1,Regional; Cocina de mercado,,0
Cul de Poule,avenue Wanderpepen 44; Binche; 7130; Bélgica,Binche,Bélgica,1,Francesa moderna,,0
Horse & Groom,Bourton on the Hill; GL56 9AQ; Reino Unido,Bourton on the Hill,Reino Unido,1,Inglesa tradicional,Cocina local,0
L'800,Via Centese 33; Argelato; 40050; Italia,Argelato,Italia,1,Cocina de Emilia; Tradicional,Familiar;Grupos,0
Gasthof zum goldenen Kreuz,Zürcherstrasse 134; Frauenfeld; 8500; Suiza,Frauenfeld,Suiza,1,Cocina de mercado; Tradicional,,0
The Yurt,Rosara Nurseries; The Park; North Aston; OX25 6HL; Reino Unido,North Aston,Reino Unido,1,Inglesa moderna,Productos locales,0
Schäck's Adler,Waldkircher Straße 2; Elzach; 79215; Alemania,Elzach,Alemania,1,Regional; Clásica,Cocina local,0
Sargasso,Unit 13; Harbour Arm; Stone Pier; Margate; CT9 1AP; Reino Unido,Margate,Reino Unido,1,Moderna,Terraza agradable,0
De Vous à Nous,rue de Grand Bry 42; Montigny-le-Tilleul; 6110; Bélgica,Montigny-le-Tilleul,Bélgica,1,Francesa moderna,,0
Osteria Uno,140 Hinemoa Street; Birkenhead; Auckland; 0626; Nueva Zelanda,Auckland,Nueva Zelanda,1,Italiana,,0
Atelier,292 Karangahape Road; Auckland Central; Auckland; 1010; Nueva Zelanda,Auckland,Nueva Zelanda,1,Francesa contemporánea,,0
Hummingbird,22 Courtenay Place; Te Aro; Wellington; 6011; Nueva Zelanda,Wellington,Nueva Zelanda,1,Europea contemporánea,Grupos,0
Gatherings,Unit 5; 2 Papanui Road; Merivale; Christchurch; 8014; Nueva Zelanda,Christchurch,Nueva Zelanda,1,Neozelandesa,Comer solo,0
The Athens Yacht Club,179 Victoria Street; Christchurch Central City; Christchurch; 8014; Nueva Zelanda,Christchurch,Nueva Zelanda,1,Griega,Familiar;Grupos,0
Bistro Saine,1F; 51 Albert Street; Auckland Central; Auckland; 1010; Nueva Zelanda,Auckland,Nueva Zelanda,1,Francesa,Romántico,0
Apéro Food & Wine,280 Karangahape Road; Auckland Central; Auckland; 1010; Nueva Zelanda,Auckland,Nueva Zelanda,1,Francesa,,0
Goat,12 Wyndham Street; Auckland Central; Auckland; 1010; Nueva Zelanda,Auckland,Nueva Zelanda,1,Hindú,Grupos,0
Indian Alley,3/290 Wakefield Street; Te Aro; Wellington; 6011; Nueva Zelanda,Wellington,Nueva Zelanda,1,Hindú,,0
Londo,Unit 6; 2 Papanui Road; Merivale; Christchurch; 8014; Nueva Zelanda,Christchurch,Nueva Zelanda,1,Europea contemporánea,Comer solo;Familiar,0
Cicio Cacio,167 Riddiford Street; Newtown; Wellington; 6021; Nueva Zelanda,Wellington,Nueva Zelanda,1,Italiana,Grupos,0
Earl,128 Lichfield Street; Christchurch Central City; Christchurch; 8011; Nueva Zelanda,Christchurch,Nueva Zelanda,1,Europea,Familiar,0
Bianca,4/2 Robert Street; Ellerslie; Auckland; 1051; Nueva Zelanda,Auckland,Nueva Zelanda,1,Neozelandesa,,0
Parro,359 Dominion Road; Mount Eden; Auckland; 1024; Nueva Zelanda,Auckland,Nueva Zelanda,1,Cocina mediterránea,Merece la espera,0
Odeon,165 Gloucester Street; Christchurch Central City; Christchurch; 8011; Nueva Zelanda,Christchurch,Nueva Zelanda,1,Cocina mediterránea,Familiar,0
1154 Pastaria,132 Cuba Street; Te Aro; Wellington; 6011; Nueva Zelanda,Wellington,Nueva Zelanda,0,Italiana,,0
The Monday Room,161 High Street; Christchurch Central City; Christchurch; 8011; Nueva Zelanda,Christchurch,Nueva Zelanda,1,Neozelandesa,Romántico;Familiar,0
Soul Quarter,219 High Street; Christchurch Central City; Christchurch; 8011; Nueva Zelanda,Christchurch,Nueva Zelanda,1,Internacional,Romántico;Familiar,0
Milenta,210/218 Victoria Street West; Auckland Central; Auckland; 1010; Nueva Zelanda,Auckland,Nueva Zelanda,1,Latinoamericana,Familiar,0
Tempero,352 Karangahape Road; Auckland Central; Auckland; 1010; Nueva Zelanda,Auckland,Nueva Zelanda,1,Latinoamericana,Grupos,0
Cazador,854 Dominion Road; Mount Eden; Auckland; 1041; Nueva Zelanda,Auckland,Nueva Zelanda,1,Neozelandesa,Familiar,0
Fire And Slice,7 Wakefield Avenue; Sumner; Christchurch; 8081; Nueva Zelanda,Christchurch,Nueva Zelanda,1,Pizza,Cocina local,0
Paloma Taqueria,28 Helwick Street; Wānaka; 9305; Nueva Zelanda,Wānaka,Nueva Zelanda,1,Mexicana,Terraza agradable;Familiar,0
Roca,1F; The Terrace; 126 Oxford Terrace; Christchurch Central City; Christchurch; 8011; Nueva Zelanda,Christchurch,Nueva Zelanda,1,Cocina mediterránea,Familiar,0
Gemmayze Street,Shop 16; St. Kevin's Arcade; 183 Karangahape Road; Auckland Central; Auckland; 1010; Nueva Zelanda,Auckland,Nueva Zelanda,1,Libanesa,Grupos,0
A'mano,6/150 Lichfield Street; Christchurch Central City; Christchurch; 8011; Nueva Zelanda,Christchurch,Nueva Zelanda,1,Italiana,Familiar,0
Boda,13F; Mövenpick Hotel; 8 Customs Street East; Auckland Central; Auckland; 1010; Nueva Zelanda,Auckland,Nueva Zelanda,1,Coreana contemporánea,,0
Pasta & Cuore,409 Mount Eden Road; Mount Eden; Auckland; 1024; Nueva Zelanda,Auckland,Nueva Zelanda,1,Italiana,Familiar;Cocina local,0
Muttonbird,33 Ardmore Street; Wānaka; 9305; Nueva Zelanda,Wānaka,Nueva Zelanda,1,Neozelandesa,Grupos,0
Treehouse,3 Reece Crescent; Wānaka; 9305; Nueva Zelanda,Wānaka,Nueva Zelanda,1,Neozelandesa,Familiar;Cocina local,0
Francesca,93 Ardmore Street; Wānaka; 9305; Nueva Zelanda,Wānaka,Nueva Zelanda,1,Italiana,Familiar,0
Aosta,18 Buckingham Street; Arrowtown; 9302; Nueva Zelanda,Arrowtown,Nueva Zelanda,1,Italiana,Grupos,0
Bombay Palace (Wānaka),1F; 145 Ardmore Street; Wānaka; 9305; Nueva Zelanda,Wānaka,Nueva Zelanda,1,Hindú,Terraza agradable;Familiar,0
Sundays,Country Lane; 26 Hansen Road; Frankton; Queenstown; 9300; Nueva Zelanda,Queenstown,Nueva Zelanda,1,Italiana,Familiar;Cocina local,0
The Cow (Queenstown),Cow Lane; Queenstown; 9300; Nueva Zelanda,Queenstown,Nueva Zelanda,1,Italiana,Familiar;Cocina local,0
Tian Nan Xing Minced Pork Noodle,Kaki Bukit 511 Market & Food Centre; #01-10; 511 Bedok North Street 3; Singapore; 460511; Singapur,Singapore,Singapur,0,Street food,,0
Fico,1300 East Coast Parkway; Singapore; 468964; Singapur,Singapore,Singapur,1,Italiana,Terraza agradable,0
Yi Pin Wei Braised Duck．Kway Chap,Tampines Round Market & Food Centre; #01-40; 137 Tampines Street 11; Singapore; 521137; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Boon Keng Road Fish Head Bee Hoon,Blk 416; #01-53; Bedok North Avenue 2; Singapore; 460416; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Rajarani Thosai,Tampines Round Market & Food Centre; #01-33; 137 Tampines Street 11; Singapore; 521137; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Seng Kee Black Chicken Herbal Soup,Kaki Bukit 511 Market & Food Centre; #01-31/32; 511 Bedok North Street 3; Singapore; 460511; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Sin Heng Claypot Bak Koot Teh,#01-01; 439 Joo Chiat Road; Singapore; 427652; Singapur,Singapore,Singapur,1,Cocina de Singapur,Cocina local,0
Nam Sing Hokkien Fried Mee,51 Old Airport Road Food Centre; #01-32; 51 Old Airport Road; Singapore; 390051; Singapur,Singapore,Singapur,0,Street food,,0
Cumi Bali,50 Tras Street; Singapore; 078989; Singapur,Singapore,Singapur,1,Indonesia,Familiar,0
To-Ricos Kway Chap,51 Old Airport Road Food Centre; #01-135/136; 51 Old Airport Road; Singapore; 390051; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Hoo Kee Bak Chang,Amoy Street Food Centre; #01-18; 7 Maxwell Road; Singapore; 069111; Singapur,Singapore,Singapur,0,Street food,,0
Xiu Ji Ikan Bilis Yong Tau Fu,Chinatown Complex Market & Food Centre; #02-87/88; 335 Smith Street; Singapore; 050335; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Sik Bao Sin,592 Geylang Road; Singapore; 389531; Singapur,Singapore,Singapur,1,Cocina de Singapur,,0
Whole Earth,76 Peck Seah Street; Singapore; 079331; Singapur,Singapore,Singapur,1,Vegetariana,Familiar;Cocina local,0
Heng Kee,Hong Lim Market and Food Centre; #01-58; Blk 531A; Upper Cross Street; Singapore; 051531; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Lao Fu Zi Fried Kway Teow,51 Old Airport Road Food Centre; #01-12; 51 Old Airport Road; Singapore; 390051; Singapur,Singapore,Singapur,0,Street food,Merece la espera;Cocina local,0
J2 Famous Crispy Curry Puff,Amoy Street Food Centre; #01-21; 7 Maxwell Road; Singapore; 069111; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
A Noodle Story,Amoy Street Food Centre; #01-39; 7 Maxwell Road; Singapore; 069111; Singapur,Singapore,Singapur,0,Street food,,0
Sin Huat Seafood Restaurant,659/661 Lorong 35 Geylang; Singapore; 389589; Singapur,Singapore,Singapur,1,Street food,Cocina local,0
Tai Wah Pork Noodle,Hong Lim Market and Food Centre; #02-16; Blk 531A; Upper Cross Street; Singapore; 051531; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Tian Tian Hainanese Chicken Rice,Maxwell Food Centre; #01-10/11; 1 Kadayanallur Street; Singapore; 069184; Singapur,Singapore,Singapur,0,Street food,Merece la espera,0
Yhingthai Palace,#01-04; 36 Purvis Street; Singapore; 188613; Singapur,Singapore,Singapur,1,Thai,Grupos,0
King of Laksa,Stall S3; #02-100; 118 Aljunied Avenue 2; Singapore; 380118; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Jalan Sultan Prawn Mee,2 Jalan Ayer; Lorong 1 Geylang; Singapore; 389141; Singapur,Singapore,Singapur,0,Street food,,0
Lian He Ben Ji Claypot,Chinatown Complex Market & Food Centre; #02-198/199; 335 Smith Street; Singapore; 050335; Singapur,Singapore,Singapur,0,Street food,,0
Han Kee,Amoy Street Food Centre; #02-129; 7 Maxwell Road; Singapore; 069111; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Ji Ji Noodle House,Hong Lim Market and Food Centre; #02-48/49; Blk 531A; Upper Cross Street; Singapore; 051531; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Outram Park Fried Kway Teow Mee,Hong Lim Market and Food Centre; #02-17; Blk 531A; Upper Cross Street; Singapore; 051531; Singapur,Singapore,Singapur,0,Street food,Merece la espera,0
Un-Yang-Kor-Dai,#01-02; 57 South Bridge Road; Singapore; 058688; Singapur,Singapore,Singapur,1,Thai,,0
Song Fa Bak Kut Teh (New Bridge Road),#01-01; 11 New Bridge Road; Singapore; 059386; Singapur,Singapore,Singapur,0,Cocina de Singapur,Merece la espera;Cocina local,0
Kok Sen,2/4 Keong Saik Road; Singapore; 089112; Singapur,Singapore,Singapur,1,Cocina de Singapur,Grupos,0
Jungle,10 Ann Siang Hill; Singapore; 069789; Singapur,Singapore,Singapur,1,Thai,Familiar,0
Cheok Kee,Geylang Bahru Market & Food Centre; #01-35; 69 Geylang Bahru; Singapore; 330069; Singapur,Singapore,Singapur,0,Street food,,0
Da Shi Jia Big Prawn Mee,89 Killiney Road; Singapore; 239534; Singapur,Singapore,Singapur,0,Cocina de Singapur,,0
Bismillah Biryani (Little India),50 Dunlop Street; Singapore; 209379; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Na Na Curry,115 Bukit Merah View Market & Hawker Centre; #01-47; Blk 115 Bukit Merah View; Singapore; 151115; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Koh Brother Pig's Organ Soup,Tiong Bahru Market; #02-29; 30 Seng Poh Road; Singapore; 168898; Singapur,Singapore,Singapur,0,Street food,,0
Spinach Soup,Geylang Bahru Market & Food Centre; #01-12; 69 Geylang Bahru; Singapore; 330069; Singapur,Singapore,Singapur,0,Street food,,0
Chai Chuan Tou Yang Rou Tang,115 Bukit Merah View Market & Hawker Centre; #01-51; Blk 115 Bukit Merah View; Singapore; 151115; Singapur,Singapore,Singapur,0,Street food,Merece la espera,0
Beach Road Fish Head Bee Hoon,Whampoa Makan Place; #01-46; 90/91 Whampoa Drive 91; Singapore; 320091; Singapur,Singapore,Singapur,0,Street food,,0
Zhi Wei Xian Zion Road Big Prawn Noodle,Zion Riverside Food Centre; #04; 70 Zion Road; Singapore; 247792; Singapur,Singapore,Singapur,0,Street food,,0
Hong Heng Fried Sotong Prawn Mee,Tiong Bahru Market; #02-01; 30 Seng Poh Road; Singapore; 168898; Singapur,Singapore,Singapur,0,Street food,,0
Tiong Bahru Hainanese Boneless Chicken Rice,Tiong Bahru Market; #02-82; 30 Seng Poh Road; Singapore; 168898; Singapur,Singapore,Singapur,0,Street food,,0
Xiangyee,101 Killiney Road; Singapore; 239544; Singapur,Singapore,Singapur,1,Cocina de Hunan,Grupos,0
No.18 Zion Road Fried Kway Teow,Zion Riverside Food Centre; #017; 70 Zion Road; Singapore; 247792; Singapur,Singapore,Singapur,0,Street food,Merece la espera;Cocina local,0
Yong Chun Wan Ton Noodle,115 Bukit Merah View Market & Hawker Centre; #01-56; Blk 115 Bukit Merah View; Singapore; 151115; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Singapore Fried Hokkien Mee,Whampoa Makan Place; #01-32/33; 90/91 Whampoa Drive 91; Singapore; 320091; Singapur,Singapore,Singapur,0,Street food,,0
Kelantan Kway Chap · Pig Organ Soup,Berseh Food Centre; #02-39; 166 Jalan Besar; Singapore; 208877; Singapur,Singapore,Singapur,0,Street food,,0
Hui Wei Chilli Ban Mian,Geylang Bahru Market & Food Centre; #01-58; 69 Geylang Bahru; Singapore; 330069; Singapur,Singapore,Singapur,0,Street food,,0
Delhi Lahori,Tekka Centre; #01-266; 665 Buffalo Road; Singapore; 210665; Singapur,Singapore,Singapur,0,Street food,Merece la espera,0
Kitchenman Nasi Lemak,CT Hub; #01-08/13; 2 Kallang Avenue; Singapore; 339407; Singapur,Singapore,Singapur,0,Malaya,Familiar;Cocina local,0
Chey Sua Carrot Cake,127 Toa Payoh West Market & Food Centre; #02-30; Blk 127; Lorong 1 Toa Payoh; Singapore; 310127; Singapur,Singapore,Singapur,0,Street food,,0
Jason Penang Cuisine,ABC Brickworks Market & Food Centre; #01-112; Blk 6 Jalan Bukit Merah; Singapore; 150006; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Ar Er Soup,ABC Brickworks Market & Food Centre; #01-141; Blk 6 Jalan Bukit Merah; Singapore; 150006; Singapur,Singapore,Singapur,0,Street food,,0
Fu Ming Cooked Food,Redhill Market; #01-49; 85 Redhill Lane; Singapore; 150085; Singapur,Singapore,Singapur,0,Street food,,0
Hai Nan Xing Zhou Beef Noodle,Kim Keat Palm Market & Food Centre; #01-06; 22 Lorong 7 Toa Payoh; Singapore; 310022; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Kwee Heng,Newton Food Centre; #01-13; 500 Clemenceau Avenue North; Singapore; 229495; Singapur,Singapore,Singapur,0,Street food,,0
Hong Kong Yummy Soup,Alexandra Village Food Centre; #01-51; Blk 120 Bukit Merah Lane 1; Singapore; 150120; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Jia Xiang,Redhill Market; #01-35; 85 Redhill Lane; Singapore; 150085; Singapur,Singapore,Singapur,0,Street food,,0
Heng,Newton Food Centre; #01-28; 500 Clemenceau Avenue North; Singapore; 229495; Singapur,Singapore,Singapur,0,Street food,,0
Chef Kang's Noodle House,Blk C; #01-34; Jackson Square; 11 Lorong 3 Toa Payoh; Singapore; 319579; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Alliance Seafood,Newton Food Centre; #01-27; 500 Clemenceau Avenue North; Singapore; 229495; Singapur,Singapore,Singapur,0,Street food,,0
Boon Tong Kee (Balestier Road),399; 401; 403 Balestier Road; Singapore; 329801; Singapur,Singapore,Singapur,0,Cocina de Singapur,Grupos;Cocina local,0
Kwang Kee Teochew Fish Porridge,Newton Food Centre; #01-20; 500 Clemenceau Avenue North; Singapore; 229495; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Lixin Teochew Fishball Noodles,Kim Keat Palm Market & Food Centre; #01-20; Blk 19 Toa Payoh Lor 7; Singapore; 310019; Singapur,Singapore,Singapur,0,Street food,Merece la espera,0
Hup Kee Fried Oyster Omelette,Newton Food Centre; #01-73; 500 Clemenceau Avenue North; Singapore; 229495; Singapur,Singapore,Singapur,0,Street food,Merece la espera,0
Wok Hei Hor Fun,Redhill Market; #01-94; 85 Redhill Lane; Singapore; 150085; Singapur,Singapore,Singapur,0,Street food,,0
Song Kee Teochew Fish Porridge,Newton Food Centre; #01-37; 500 Clemenceau Avenue North; Singapore; 229495; Singapur,Singapore,Singapur,0,Street food,,0
Adam Rd Noo Cheng Big Prawn Noodle,Adam Food Centre; #01-27; 2 Adam Road; Singapore; 289876; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Bahrakath Mutton Soup,Adam Food Centre; #01-10; 2 Adam Road; Singapore; 289876; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Selamat Datang Warong Pak Sapari,Adam Food Centre; #01-09 ; 2 Adam Road; Singapore; 289876; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Ru Ji Kitchen,Holland Drive Market & Food Centre; #02-28/29; 44 Holland Drive; Singapore; 270044; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Margaret Drive Sin Kee Chicken Rice,Block 40; Stall 5; #01-39; Holland Drive; Singapore; 270040; Singapur,Singapore,Singapur,0,Street food,Merece la espera,0
Chuan Kee Boneless Braised Duck,20 Ghim Moh Road Market & Food Centre; #01-04; Blk 20; Ghim Moh Road; Singapore; 270020; Singapur,Singapore,Singapur,0,Street food,,0
Song Fish Soup,Clementi 448 Food Centre; #01-38; 448 Clementi Ave 3; Singapore; 120448; Singapur,Singapore,Singapur,0,Street food,,0
New Lucky Claypot Rice,Holland Drive Market & Food Centre; #02-19; 44 Holland Drive; Singapore; 270044; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
MP Thai (Vision Exchange),Vision Exchange; #02-41/42; 2 Venture Drive; Singapore; 608526; Singapur,Singapore,Singapur,1,Thai,Familiar;Cocina local,0
Hai Nan Zai,Chong Pang Market and Food Centre; #01-129; 105 Yishun Ring Road; Singapore; 760105; Singapur,Singapore,Singapur,0,Street food,,0
Ji De Lai Hainanese Chicken Rice,Chong Pang Market and Food Centre; #01-152; 105 Yishun Ring Road; Singapore; 760105; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Zai Shun Curry Fish Head,#01-205; 253 Jurong East Steet 24; Singapore; 600253; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Joo Siah Bak Koot Teh,Blk 349; #01-1215 Jurong East Avenue 1; Singapore; 600349; Singapur,Singapore,Singapur,0,Street food,,0
Fei Fei Roasted • Noodle,Yuhua Village Market and Food Centre; #01-28; Blk 254; Jurong East Street 24; Singapore; 600254; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Lai Heng Handmade Teochew Kueh,Yuhua Market & Hawker Centre; #01-218; Blk 347; Jurong East Avenue 1; Jurong East; Singapore; 600347; Singapur,Singapore,Singapur,0,Street food,,0
Heng Heng Cooked Food,Yuhua Village Market and Food Centre; #01-12; Blk 254; Jurong East Street 24; Singapore; 600254; Singapur,Singapore,Singapur,0,Street food,,0
Soh Kee Cooked Food,Jurong West 505 Market & Food Centre; #01-44; Blk 505; Jurong West Street 52; Singapore; 640505; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Tai Seng Fish Soup,Taman Jurong Market & Food Centre; #03-145; 3 Yung Sheng Road; Jurong West; Singapore; 618499; Singapur,Singapore,Singapur,0,Street food,,0
Dudu Cooked Food,Jurong West 505 Market & Food Centre; #01-19; Blk 505; Jurong West Street 52; Singapore; 640505; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Jian Bo Tiong Bahru Shui Kueh,Jurong West 505 Market & Food Centre; #01-27; Blk 505; Jurong West Street 52; Singapore; 640505; Singapur,Singapore,Singapur,0,Street food,Cocina local,0
Hai Kah Lang (Taman Cheras),44 Jalan Kaskas 2; Taman Cheras; Kuala Lumpur; 56100; Malasia,Kuala Lumpur,Malasia,1,Pescados y mariscos,,0
Sao Nam,25 Tengkat Tong Shin; Bukit Bintang; Kuala Lumpur; 50200; Malasia,Kuala Lumpur,Malasia,1,Vietnamita,Familiar,0
